,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
225,Komsomolskiy,UZ,40.4272,71.7189,41.72,65,100,0.0,haze,2021-12-04 17:22:57
226,Belyy Yar,RU,53.6039,91.3903,25.86,63,0,8.95,clear sky,2021-12-04 17:22:57
227,Flin Flon,CA,54.7682,-101.865,4.84,72,75,8.05,light snow,2021-12-04 17:23:58
228,Sakakah,SA,29.9697,40.2064,65.77,36,99,10.16,overcast clouds,2021-12-04 17:23:58
229,Cuajinicuilapa,MX,16.4667,-98.4167,89.01,41,8,2.42,clear sky,2021-12-04 17:22:22
230,Russell,US,32.3502,-85.1999,72.0,84,1,0.0,clear sky,2021-12-04 17:23:28
231,Nassau,US,40.7507,-73.5829,48.87,54,1,1.01,clear sky,2021-12-04 17:23:58
232,Kaeo,NZ,-35.1,173.7833,67.32,96,100,10.42,overcast clouds,2021-12-04 17:23:59
233,Serebryansk,KZ,49.6925,83.2892,11.75,96,50,3.83,scattered clouds,2021-12-04 17:23:59
234,Zyryanka,RU,65.75,150.85,-36.0,99,72,6.85,broken clouds,2021-12-04 17:24:00
235,Sabang,ID,5.8933,95.3214,81.16,76,71,11.36,broken clouds,2021-12-04 17:24:00
236,Hagi,JP,34.4,131.4167,41.86,71,71,3.36,broken clouds,2021-12-04 17:24:00
237,Tenenkou,ML,14.4572,-4.9169,93.13,9,91,7.34,overcast clouds,2021-12-04 17:24:01
238,Tanout,NE,14.9709,8.8879,80.22,12,96,10.56,overcast clouds,2021-12-04 17:24:01
239,San Policarpo,PH,12.1791,125.5072,77.67,82,85,18.5,overcast clouds,2021-12-04 17:24:01
240,Sitka,US,57.0531,-135.33,21.09,86,1,3.44,clear sky,2021-12-04 17:24:02
241,Elizabeth City,US,36.2946,-76.2511,68.02,68,1,7.0,clear sky,2021-12-04 17:24:02
242,Sorland,NO,67.667,12.6934,29.88,59,6,18.14,clear sky,2021-12-04 17:24:02
243,Nioro,GM,13.35,-15.75,98.33,16,88,5.91,overcast clouds,2021-12-04 17:24:03
244,Carauari,BR,-4.8828,-66.8958,90.75,55,65,2.42,broken clouds,2021-12-04 17:24:03
245,Lagoa,PT,39.05,-27.9833,63.97,84,37,13.31,scattered clouds,2021-12-04 17:24:04
246,Ahuimanu,US,21.4447,-157.8378,66.45,75,75,0.0,broken clouds,2021-12-04 17:24:04
247,Nanortalik,GL,60.1432,-45.2371,37.31,76,100,24.76,overcast clouds,2021-12-04 17:24:04
248,Calama,CL,-22.4667,-68.9333,77.49,10,40,19.57,scattered clouds,2021-12-04 17:24:05
249,Mecca,SA,21.4267,39.8261,76.41,63,0,5.19,clear sky,2021-12-04 17:24:05
250,Sukumo,JP,32.9333,132.7333,41.05,76,4,6.24,clear sky,2021-12-04 17:24:05
251,Muli,MV,2.9167,73.5667,82.94,77,55,13.27,broken clouds,2021-12-04 17:24:06
252,Paoua,CF,7.2427,16.4406,83.73,26,26,2.59,scattered clouds,2021-12-04 17:24:06
253,Basco,PH,20.4487,121.9702,73.4,63,100,25.19,overcast clouds,2021-12-04 17:24:07
254,Manono,CD,-7.3,27.4167,80.74,51,77,2.33,broken clouds,2021-12-04 17:24:07
255,Egvekinot,RU,66.3167,-179.1667,-26.03,96,24,5.59,few clouds,2021-12-04 17:24:07
256,Richards Bay,ZA,-28.783,32.0377,73.27,97,100,14.2,heavy intensity rain,2021-12-04 17:19:41
257,Taganak,PH,6.0833,118.3,80.74,81,100,9.82,overcast clouds,2021-12-04 17:24:08
258,Bernalillo,US,35.05,-106.6673,64.27,39,20,3.44,few clouds,2021-12-04 17:24:08
259,Aklavik,CA,68.2191,-135.0107,-21.17,68,1,5.75,clear sky,2021-12-04 17:24:09
260,Cherskiy,RU,68.75,161.3,-20.45,99,100,7.78,overcast clouds,2021-12-04 17:24:09
261,Yarada,IN,17.65,83.2667,79.12,69,75,9.22,broken clouds,2021-12-04 17:24:09
262,Narsaq,GL,60.9167,-46.05,37.62,67,100,16.67,light rain,2021-12-04 17:24:10
263,Sarkand,KZ,45.41,79.9186,40.55,73,100,1.83,overcast clouds,2021-12-04 17:24:10
264,Juneau,US,58.3019,-134.4197,24.85,93,75,0.0,broken clouds,2021-12-04 17:24:10
265,Devils Lake,US,48.1128,-98.8651,24.78,77,1,1.99,clear sky,2021-12-04 17:24:11
266,Bondo,CD,3.8146,23.6866,70.5,97,99,1.63,light rain,2021-12-04 17:24:11
267,Nantucket,US,41.2835,-70.0995,43.25,60,41,7.63,scattered clouds,2021-12-04 17:21:58
268,Tomatlan,MX,19.9333,-105.25,84.81,60,20,1.45,few clouds,2021-12-04 17:24:12
269,Airai,TL,-8.9266,125.4092,62.19,93,100,1.21,overcast clouds,2021-12-04 17:24:12
270,Ambulu,ID,-8.345,113.6058,75.72,85,100,1.52,overcast clouds,2021-12-04 17:24:12
271,Vanavara,RU,60.34,102.2797,20.59,86,100,16.02,light snow,2021-12-04 17:25:13
272,Khatanga,RU,71.9667,102.5,-21.15,98,100,8.05,overcast clouds,2021-12-04 17:25:13
273,Masterton,NZ,-40.9597,175.6575,64.78,71,100,6.13,overcast clouds,2021-12-04 17:25:13
274,Bandarbeyla,SO,9.4942,50.8122,78.13,66,0,22.26,clear sky,2021-12-04 17:25:14
275,Marawi,PH,7.9986,124.2928,66.65,97,92,3.87,overcast clouds,2021-12-04 17:25:14
276,Isiolo,KE,0.3546,37.5822,67.48,85,51,5.23,light rain,2021-12-04 17:25:14
277,Saint George,US,37.1041,-113.5841,60.35,45,1,3.44,clear sky,2021-12-04 17:22:38
278,Belaya Gora,RU,68.5333,146.4167,-39.46,100,63,0.38,broken clouds,2021-12-04 17:25:15
279,Sisimiut,GL,66.9395,-53.6735,32.79,80,100,16.2,overcast clouds,2021-12-04 17:24:02
280,Neya,RU,58.2972,43.8681,21.78,93,100,9.51,light snow,2021-12-04 17:25:15
281,Sorrento,IT,40.626,14.3744,55.65,53,40,1.01,scattered clouds,2021-12-04 17:25:16
282,Nichinan,JP,31.6,131.3667,41.76,65,9,5.93,clear sky,2021-12-04 17:25:16
283,Bagdarin,RU,54.4333,113.6,15.03,79,100,5.68,overcast clouds,2021-12-04 17:25:16
284,Husavik,IS,66.0449,-17.3389,12.11,77,87,10.18,overcast clouds,2021-12-04 17:25:17
285,Aksu,CN,41.1231,80.2644,29.44,41,100,1.99,overcast clouds,2021-12-04 17:24:35
286,Panjab,AF,34.388,67.0233,31.41,48,64,2.95,broken clouds,2021-12-04 17:25:17
287,Frontera,MX,26.9333,-101.45,81.32,46,40,0.0,scattered clouds,2021-12-04 17:25:17
288,Griffith,US,41.5284,-87.4237,42.73,47,40,3.0,scattered clouds,2021-12-04 17:25:18
289,Constitucion,CL,-35.3333,-72.4167,69.35,53,3,14.03,clear sky,2021-12-04 17:25:18
290,Inuvik,CA,68.3499,-133.7218,-21.14,73,1,5.75,clear sky,2021-12-04 17:25:18
291,Kavarna,BG,43.4333,28.3333,38.35,99,100,13.4,overcast clouds,2021-12-04 17:25:19
292,Emba,KZ,48.8264,58.1442,28.26,89,96,5.35,overcast clouds,2021-12-04 17:25:19
293,Rudnogorsk,RU,57.2639,103.7519,22.73,88,100,12.82,overcast clouds,2021-12-04 17:25:20
294,Hervey Bay,AU,-25.2986,152.8535,71.04,77,82,5.14,moderate rain,2021-12-04 17:25:20
295,Tres Arroyos,AR,-38.3739,-60.2798,64.24,36,100,3.74,moderate rain,2021-12-04 17:25:20
296,Ishigaki,JP,24.3448,124.1572,68.9,63,100,18.75,overcast clouds,2021-12-04 17:25:21
297,Ndola,ZM,-12.9587,28.6366,75.27,26,2,5.5,clear sky,2021-12-04 17:25:21
298,Nampa,US,43.5407,-116.5635,47.41,100,90,0.0,fog,2021-12-04 17:23:11
299,Olafsvik,IS,64.8945,-23.7142,34.61,75,71,4.65,broken clouds,2021-12-04 17:25:06
300,Ambilobe,MG,-13.2,49.05,80.83,66,52,6.17,broken clouds,2021-12-04 17:25:22
301,Gidole,ET,5.65,37.3667,67.08,42,86,2.71,overcast clouds,2021-12-04 17:25:22
302,Omsukchan,RU,62.5333,155.8,-32.8,94,17,3.94,few clouds,2021-12-04 17:25:22
303,Labuan,MY,5.2767,115.2417,77.36,100,40,0.0,scattered clouds,2021-12-04 17:25:23
304,Vanimo,PG,-2.6741,141.3028,78.28,91,100,7.76,moderate rain,2021-12-04 17:25:23
305,Port Lincoln,AU,-34.7333,135.8667,57.38,80,61,11.48,broken clouds,2021-12-04 17:25:23
306,Namatanai,PG,-3.6667,152.4333,80.42,84,58,7.16,light rain,2021-12-04 17:25:24
307,Sakete,BJ,6.7362,2.6587,85.14,57,81,7.85,broken clouds,2021-12-04 17:25:24
308,Cozumel,MX,20.5083,-86.9458,82.94,60,40,5.01,scattered clouds,2021-12-04 17:25:24
309,Saint-Augustin,CA,51.226,-58.6502,20.55,56,26,23.35,scattered clouds,2021-12-04 17:25:25
310,Tobol,KZ,52.6844,62.5794,32.13,91,99,12.97,overcast clouds,2021-12-04 17:25:25
311,Miri,MY,4.4148,114.0089,77.14,94,40,2.3,scattered clouds,2021-12-04 17:25:25
312,Mount Gambier,AU,-37.8333,140.7667,42.71,93,42,0.0,mist,2021-12-04 17:25:25
313,Pierre,US,44.3683,-100.351,37.06,57,90,3.0,overcast clouds,2021-12-04 17:25:26
314,Maloy,NO,61.9353,5.1136,37.72,76,94,5.01,light rain,2021-12-04 17:25:26
315,Somerset,US,40.5668,-74.5496,50.68,57,1,4.0,clear sky,2021-12-04 17:25:26
316,Fulton,US,33.7668,-84.4499,68.38,75,1,1.01,clear sky,2021-12-04 17:25:27
317,Jega,NG,12.2175,4.3792,86.32,14,78,7.72,broken clouds,2021-12-04 17:25:27
318,Druzhba,UA,52.0428,33.9453,24.75,95,23,5.93,few clouds,2021-12-04 17:26:27
319,Vila Velha,BR,-20.3297,-40.2925,78.75,73,40,11.5,scattered clouds,2021-12-04 17:26:28
320,Port Hardy,CA,50.6996,-127.4199,37.76,93,75,4.61,broken clouds,2021-12-04 17:26:28
321,Teshie,GH,5.5836,-0.1072,86.56,74,0,9.22,clear sky,2021-12-04 17:26:29
322,Adrar,MR,20.5022,-10.0711,78.96,10,64,12.66,broken clouds,2021-12-04 17:26:29
323,Keningau,MY,5.3378,116.1602,73.85,99,100,1.19,overcast clouds,2021-12-04 17:26:29
324,Gornopravdinsk,RU,60.05,69.9,20.1,96,100,6.24,snow,2021-12-04 17:26:30
325,Loveland,US,40.3978,-105.075,65.88,48,1,1.01,clear sky,2021-12-04 17:26:30
326,Krosno,PL,49.6887,21.7706,34.47,67,99,14.74,overcast clouds,2021-12-04 17:26:30
327,Toowoomba,AU,-27.55,151.9667,61.54,94,15,1.01,few clouds,2021-12-04 17:26:31
328,Bonfim,BR,3.0833,-59.95,92.34,43,33,4.54,scattered clouds,2021-12-04 17:26:31
329,Abnub,EG,27.2696,31.1511,68.22,29,99,2.21,overcast clouds,2021-12-04 17:26:31
330,Northam,GB,51.0333,-4.2167,45.39,67,84,24.85,broken clouds,2021-12-04 17:26:32
331,Abancay,PE,-13.6339,-72.8814,61.84,60,100,6.17,overcast clouds,2021-12-04 17:26:32
332,Ranong,TH,9.9658,98.6348,71.62,80,9,5.17,clear sky,2021-12-04 17:26:32
333,Inhambane,MZ,-23.865,35.3833,78.69,86,51,17.65,broken clouds,2021-12-04 17:25:10
334,Nizhnevartovsk,RU,60.9344,76.5531,14.02,85,90,4.47,light snow,2021-12-04 17:26:33
335,College,US,64.8569,-147.8028,-32.01,62,1,4.61,clear sky,2021-12-04 17:26:33
336,Marsa Matruh,EG,31.3525,27.2453,62.8,59,0,8.05,clear sky,2021-12-04 17:26:34
337,Tazmalt,DZ,36.3868,4.3989,51.89,64,0,5.06,clear sky,2021-12-04 17:26:34
338,Savonlinna,FI,61.8699,28.88,6.85,72,0,12.66,clear sky,2021-12-04 17:26:34
339,Dedza,MW,-14.3779,34.3332,70.09,52,26,5.35,scattered clouds,2021-12-04 17:26:35
340,Ucluelet,CA,48.9329,-125.5528,37.09,91,100,2.68,overcast clouds,2021-12-04 17:22:16
341,Shingu,JP,33.7333,135.9833,40.5,75,3,7.23,clear sky,2021-12-04 17:26:35
342,Alakurtti,RU,66.9672,30.3491,-2.6,99,14,3.74,few clouds,2021-12-04 17:26:35
343,Codrington,AU,-38.2667,141.9667,45.12,84,99,3.8,overcast clouds,2021-12-04 17:26:36
344,Matamoros,MX,25.5333,-103.25,68.11,56,40,0.0,scattered clouds,2021-12-04 17:26:36
345,Chum Phae,TH,16.5443,102.0992,57.78,56,18,2.17,few clouds,2021-12-04 17:26:36
346,Buala,SB,-8.145,159.5921,79.43,81,86,2.48,overcast clouds,2021-12-04 17:25:16
347,La Rioja,ES,42.25,-2.5,45.05,90,96,5.61,overcast clouds,2021-12-04 17:26:37
348,Petauke,ZM,-14.2426,31.3253,83.23,25,71,4.03,broken clouds,2021-12-04 17:26:37
349,Padang,ID,-0.9492,100.3543,77.49,88,100,1.48,light rain,2021-12-04 17:26:38
350,Pemangkat,ID,1.1667,108.9667,77.79,88,98,5.57,overcast clouds,2021-12-04 17:26:38
351,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,49,0,14.97,clear sky,2021-12-04 17:26:38
352,Bonavista,CA,48.6499,-53.1147,34.12,54,97,33.08,overcast clouds,2021-12-04 17:26:39
353,Kyra,RU,49.5776,111.9753,20.08,80,100,5.57,overcast clouds,2021-12-04 17:26:39
354,Qaqortoq,GL,60.7167,-46.0333,37.9,73,100,16.24,overcast clouds,2021-12-04 17:26:39
355,Kastamonu,TR,41.5,33.6667,44.82,71,100,4.94,overcast clouds,2021-12-04 17:26:40
356,Viedma,AR,-40.8135,-62.9967,72.97,21,100,6.78,overcast clouds,2021-12-04 17:26:40
357,Svetlogorsk,BY,52.6333,29.7333,27.93,83,85,9.13,overcast clouds,2021-12-04 17:26:40
358,Pacific Grove,US,36.6177,-121.9166,53.71,82,90,1.99,overcast clouds,2021-12-04 17:26:41
359,Calvinia,ZA,-31.4707,19.776,62.02,59,56,12.35,broken clouds,2021-12-04 17:26:41
360,Bandrele,YT,-12.9067,45.1914,82.15,78,0,4.61,clear sky,2021-12-04 17:26:41
361,Balkanabat,TM,39.5108,54.3671,46.65,69,0,8.59,clear sky,2021-12-04 17:26:14
362,Neuquen,AR,-38.9516,-68.0591,73.29,49,75,3.44,broken clouds,2021-12-04 17:26:42
363,Saskylakh,RU,71.9167,114.0833,-20.45,98,100,5.48,overcast clouds,2021-12-04 17:26:42
364,Port Blair,IN,11.6667,92.75,79.68,80,59,10.51,broken clouds,2021-12-04 17:24:24
365,Kununurra,AU,-15.7667,128.7333,84.18,79,94,0.0,overcast clouds,2021-12-04 17:27:43
366,Gengenbach,DE,48.4,8.0167,50.14,87,90,7.0,light rain,2021-12-04 17:27:43
367,Portoferraio,IT,42.8115,10.3146,60.1,82,40,8.05,scattered clouds,2021-12-04 17:27:43
368,Mildura,AU,-34.2,142.15,58.96,51,0,6.91,clear sky,2021-12-04 17:23:27
369,Souillac,MU,-20.5167,57.5167,79.36,83,20,6.91,few clouds,2021-12-04 17:27:44
370,Tacuarembo,UY,-31.7333,-55.9833,84.29,34,91,10.65,overcast clouds,2021-12-04 17:27:44
371,Kropotkin,RU,45.4375,40.5756,48.92,54,100,7.34,overcast clouds,2021-12-04 17:27:33
372,Santa Pola,ES,38.1917,-0.5658,65.16,51,0,3.0,clear sky,2021-12-04 17:27:45
373,Mehamn,NO,71.0357,27.8492,18.43,75,11,19.33,few clouds,2021-12-04 17:23:27
374,Ixtapa,MX,20.7,-105.2,79.83,65,40,3.44,scattered clouds,2021-12-04 17:27:45
375,Oksfjord,NO,70.2396,22.3479,18.52,85,4,9.73,clear sky,2021-12-04 17:27:46
376,Ayan,RU,56.45,138.1667,-0.2,75,26,4.61,scattered clouds,2021-12-04 17:27:46
377,Axim,GH,4.8699,-2.2405,83.48,72,49,9.8,scattered clouds,2021-12-04 17:23:31
378,Tripoli,LY,32.8752,13.1875,61.18,54,100,20.15,overcast clouds,2021-12-04 17:24:39
379,Karasjok,NO,69.4719,25.5112,-0.29,100,100,4.56,overcast clouds,2021-12-04 17:27:47
380,Ugoofaaru,MV,5.6667,73.0,82.76,74,56,10.38,broken clouds,2021-12-04 17:27:47
381,Solnechnyy,RU,50.7214,136.6319,-5.44,93,31,6.33,scattered clouds,2021-12-04 17:27:47
382,Todos Santos,MX,23.45,-110.2167,83.01,66,97,9.06,overcast clouds,2021-12-04 17:27:48
383,Acari,PE,-15.4311,-74.6158,81.99,50,85,10.76,overcast clouds,2021-12-04 17:27:48
384,Gueugnon,FR,46.6036,4.0629,43.99,87,91,9.62,overcast clouds,2021-12-04 17:27:48
385,San Felipe,VE,10.3399,-68.7425,87.24,52,92,6.26,overcast clouds,2021-12-04 17:27:49
386,Cocobeach,GA,1.0002,9.5823,84.13,80,99,9.71,light rain,2021-12-04 17:27:49
387,Beringovskiy,RU,63.05,179.3167,8.92,81,74,7.65,broken clouds,2021-12-04 17:27:49
388,Dudinka,RU,69.4058,86.1778,-34.02,99,98,3.71,overcast clouds,2021-12-04 17:27:50
389,Calamar,CO,10.2511,-74.9146,89.55,49,92,4.79,overcast clouds,2021-12-04 17:27:50
390,Huari,PE,-9.3333,-77.2333,53.01,65,100,5.53,light rain,2021-12-04 17:27:50
391,Dera Bugti,PK,29.0307,69.151,61.5,28,0,5.55,clear sky,2021-12-04 17:27:51
392,La Ronge,CA,55.1001,-105.2842,-0.15,71,40,5.75,scattered clouds,2021-12-04 17:27:51
393,El Alto,PE,-4.2714,-81.2147,76.66,64,93,15.86,overcast clouds,2021-12-04 17:23:08
394,Youghal,IE,51.95,-7.8506,41.09,92,47,18.97,scattered clouds,2021-12-04 17:27:52
395,Linqiong,CN,30.4159,103.4609,49.82,64,100,2.64,overcast clouds,2021-12-04 17:27:52
396,Ilebo,CD,-4.3167,20.5833,73.53,94,67,2.51,broken clouds,2021-12-04 17:27:52
397,Lulea,SE,65.5842,22.1547,8.67,92,75,6.91,light snow,2021-12-04 17:27:53
398,Fuyang,CN,32.9,115.8167,45.01,37,6,4.29,clear sky,2021-12-04 17:27:53
399,San Ramon,US,37.7799,-121.978,54.64,87,90,1.99,overcast clouds,2021-12-04 17:27:53
400,Igarka,RU,67.4667,86.5833,-38.74,100,44,4.07,scattered clouds,2021-12-04 17:27:54
401,Port Hedland,AU,-20.3167,118.5667,86.05,51,17,11.5,few clouds,2021-12-04 17:27:54
402,Amudat,UG,1.95,34.95,75.76,51,91,18.01,overcast clouds,2021-12-04 17:27:54
403,Pisco,PE,-13.7,-76.2167,71.02,83,0,10.36,clear sky,2021-12-04 17:26:59
404,Barranca,PE,-10.75,-77.7667,70.84,73,91,9.86,overcast clouds,2021-12-04 17:27:55
405,Labytnangi,RU,66.6572,66.4183,-26.61,91,7,3.67,clear sky,2021-12-04 17:27:55
406,Carbonear,CA,47.7332,-53.2148,34.34,51,95,26.06,overcast clouds,2021-12-04 17:27:55
407,Progreso,MX,21.2833,-89.6667,82.11,58,43,9.1,scattered clouds,2021-12-04 17:27:56
408,Oistins,BB,13.0667,-59.5333,86.09,58,40,19.57,scattered clouds,2021-12-04 17:27:56
409,Ust-Nera,RU,64.5667,143.2,-40.79,99,70,4.21,broken clouds,2021-12-04 17:27:57
410,Gat,IL,31.61,34.7642,67.41,50,100,2.08,overcast clouds,2021-12-04 17:23:24
411,Tura,IN,25.5198,90.2201,65.19,81,99,2.26,overcast clouds,2021-12-04 17:27:57
412,Maxixe,MZ,-23.8597,35.3472,78.53,85,52,16.82,broken clouds,2021-12-04 17:27:58
413,Pangnirtung,CA,66.1451,-65.7125,17.6,79,75,2.3,broken clouds,2021-12-04 17:26:13
414,Fairbanks,US,64.8378,-147.7164,-24.02,67,1,0.0,clear sky,2021-12-04 17:26:25
415,Middelburg,ZA,-25.7751,29.4648,71.08,67,61,14.27,light rain,2021-12-04 17:28:58
416,Half Moon Bay,US,37.4636,-122.4286,55.62,83,90,1.01,mist,2021-12-04 17:28:06
417,Waipawa,NZ,-41.4122,175.5153,63.23,76,98,8.25,overcast clouds,2021-12-04 17:28:59
418,Caconda,AO,-13.7333,15.0667,65.55,88,98,5.03,moderate rain,2021-12-04 17:28:59
419,Bastrop,US,32.7562,-91.8724,76.42,78,49,1.99,scattered clouds,2021-12-04 17:28:59
420,Muros,ES,42.7762,-9.0603,55.24,80,74,11.03,broken clouds,2021-12-04 17:29:00
421,Road Town,VG,18.4167,-64.6167,86.04,70,40,9.22,scattered clouds,2021-12-04 17:29:00
422,Dabakala,CI,8.3667,-4.4333,94.89,27,36,3.09,scattered clouds,2021-12-04 17:29:00
423,Rizhao,CN,35.4275,119.4553,44.24,58,0,4.05,clear sky,2021-12-04 17:29:01
424,Ormara,PK,25.2088,64.6357,75.69,61,2,8.68,clear sky,2021-12-04 17:29:01
425,Rio Grande,BR,-32.035,-52.0986,77.11,73,100,16.17,overcast clouds,2021-12-04 17:29:01
426,Kamyshin,RU,50.0983,45.416,39.52,92,100,4.14,overcast clouds,2021-12-04 17:29:02
427,Phalaborwa,ZA,-23.943,31.1411,87.08,34,3,5.88,clear sky,2021-12-04 17:29:02
428,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,61,20,15.01,few clouds,2021-12-04 17:29:02
429,Jupiter,US,26.9342,-80.0942,79.09,76,1,7.0,clear sky,2021-12-04 17:29:03
430,Mount Isa,AU,-20.7333,139.5,82.17,47,44,5.75,scattered clouds,2021-12-04 17:29:03
431,Kruisfontein,ZA,-34.0033,24.7314,61.88,94,100,16.62,light rain,2021-12-04 17:29:03
432,Lesnoy,RU,57.6198,63.0784,35.71,84,100,15.7,overcast clouds,2021-12-04 17:29:04
433,Laguna,US,38.421,-121.4238,63.1,98,90,4.61,fog,2021-12-04 17:29:04
434,Jalu,LY,29.0331,21.5482,59.32,32,0,17.58,clear sky,2021-12-04 17:29:04
435,Kindu,CD,-2.95,25.95,75.6,87,91,1.14,light rain,2021-12-04 17:29:05
436,Yatou,CN,37.15,122.3833,40.91,67,0,4.52,clear sky,2021-12-04 17:29:05
437,Jadu,LY,31.953,12.0261,47.44,60,20,5.68,few clouds,2021-12-04 17:29:05
438,Jian,CN,27.1172,114.9793,50.99,54,96,2.26,overcast clouds,2021-12-04 17:29:06
439,Pokosnoye,RU,55.5258,101.0536,26.17,92,99,13.18,light snow,2021-12-04 17:29:06
440,Tarauaca,BR,-8.1614,-70.7656,86.94,70,99,2.15,overcast clouds,2021-12-04 17:29:07
441,Garowe,SO,8.4054,48.4845,76.46,46,4,16.24,clear sky,2021-12-04 17:29:07
442,Nha Trang,VN,12.25,109.1833,71.6,78,92,8.79,overcast clouds,2021-12-04 17:29:07
443,Karangampel,ID,-6.4622,108.4519,77.27,90,100,9.84,overcast clouds,2021-12-04 17:29:08
444,Kahului,US,20.8947,-156.47,65.46,91,40,5.75,scattered clouds,2021-12-04 17:29:08
445,Lasa,IT,46.6166,10.7002,34.68,88,97,1.32,overcast clouds,2021-12-04 17:29:08
446,Villa Rica,US,33.7321,-84.9191,67.68,77,73,4.68,broken clouds,2021-12-04 17:29:09
447,Cap Malheureux,MU,-19.9842,57.6142,79.47,70,1,5.01,clear sky,2021-12-04 17:29:09
448,Cap-Aux-Meules,CA,47.3821,-61.8597,30.25,64,75,23.02,light shower snow,2021-12-04 17:29:09
449,Popondetta,PG,-8.7537,148.2534,73.89,98,99,3.11,overcast clouds,2021-12-04 17:29:10
450,Ust-Maya,RU,60.4167,134.5333,-15.38,88,100,5.84,overcast clouds,2021-12-04 17:29:10
451,Tinyahuarco,PE,-10.75,-76.3,46.87,75,100,7.87,overcast clouds,2021-12-04 17:29:10
